saya|aku
aku|saya
kamu|kau
kau|kamu
karena telah|dikarenakan telah
karena telah|sebab sudah
dikarenakan telah|karena telah
dikarenakan telah|sebab sudah
sebab sudah|dikarenakan telah
sebab sudah|karena telah
merasakan|mencicipi
mencicipi|merasakan
berbagi|menyebarkan
berbagi|membuatkan
berbagi|mengembangkan
menyebarkan|berbagi
menyebarkan|membuatkan
menyebarkan|mengembangkan
membuatkan|berbagi
membuatkan|menyebarkan
membuatkan|mengembangkan
mengembangkan|berbagi
mengembangkan|menyebarkan
mengembangkan|membuatkan
aplikasi|software
aplikasi|perangkat lunak
software|aplikasi
software|perangkat lunak
perangkat lunak|aplikasi
perangkat lunak|software
hingga|sampai
sampai|hingga
berbagai|banyak sekali
berbagai|aneka macam
banyak sekali|berbagai
banyak sekali|aneka macam
aneka macam|berbagai
aneka macam|banyak sekali
pertanda|menandakan
pertanda|mengambarkan
pertanda|menunjukan
pertanda|membuktikan
pertanda|menerangkan
mengambarkan|pertanda
mengambarkan|menandakan
mengambarkan|menunjukan
mengambarkan|membuktikan
mengambarkan|menerangkan
menandakan|pertanda
menandakan|mengambarkan
menandakan|menunjukan
menandakan|membuktikan
menandakan|menerangkan
menunjukan|pertanda
menunjukan|mengambarkan
menunjukan|menandakan
menunjukan|membuktikan
menunjukan|menerangkan
membuktikan|pertanda
membuktikan|mengambarkan
membuktikan|menandakan
membuktikan|menunjukan
membuktikan|menerangkan
menerangkan|pertanda
menerangkan|mengambarkan
menerangkan|menandakan
menerangkan|menunjukan
menerangkan|membuktikan
bingung|galau
bingung|resah
bingung|gundah
galau|bingung
galau|resah
galau|gundah
resah|bingung
resah|galau
resah|gundah
gundah|bingung
gundah|galau
gundah|resah
bisa|mampu
mampu|bisa
seperti|mirip
mirip|seperti
ikhlas|tulus
ikhlas|nrimo
ikhlas|lapang dada
tulus|ikhlas
tulus|nrimo
tulus|lapang dada
nrimo|ikhlas
nrimo|tulus
nrimo|lapang dada
lapang dada|ikhlas
lapang dada|tulus
lapang dada|nrimo
kudapan manis|kue
kue|kudapan manis
menerka|menduga
menerka|mengira
menduga|menerka
menduga|mengira
mengira|menerka
mengira|menduga
program|acara
